pid_num,vm,task_num,task,setup,duration,cutting
7148,v13,0,t25,1521504981.414,4.21,1521504985.633
1184,v12,0,t13,1521504980.992,5.061,1521504986.055
10560,v22,0,t11,1521504981.461,5.124,1521504986.586
12792,v23,0,t23,1521504982.211,4.832,1521504987.055
4020,v21,0,t21,1521504981.445,6.133,1521504987.586
11328,v31,0,t22,1521504982.508,5.464,1521504987.977
6532,v11,0,t24,1521504980.945,7.27,1521504988.227
7148,v32,0,t12,1521504985.633,4.977,1521504990.617
12792,v13,1,t31,1521504987.055,3.93,1521504990.992
1184,v11,1,t27,1521504986.055,5.956,1521504992.024
10560,v12,1,t36,1521504986.586,5.961,1521504992.555
6532,v23,1,t32,1521504988.227,5.317,1521504993.555
11328,v22,1,t35,1521504987.977,6.272,1521504994.258
12792,v32,1,t34,1521504990.992,4.564,1521504995.571
4020,v21,1,t26,1521504987.586,8.153,1521504995.743
7148,v31,1,t33,1521504990.617,6.518,1521504997.149
6532,v13,2,t52,1521504993.555,4.195,1521504997.758
10560,v12,2,t54,1521504992.555,5.249,1521504997.805
1184,v11,2,t53,1521504992.024,6.247,1521504998.274
4020,v23,2,t41,1521504995.743,4.105,1521504999.852
12792,v22,2,t42,1521504995.571,4.989,1521505000.571
11328,v21,2,t44,1521504994.258,7.723,1521505001.992
1184,v13,3,t59,1521504998.274,3.919,1521505002.196
6532,v32,2,t43,1521504997.758,4.567,1521505002.336
10560,v12,3,t55,1521504997.805,4.733,1521505002.539
7148,v31,2,t51,1521504997.149,5.496,1521505002.649
4020,v22,3,t57,1521504999.852,5.035,1521505004.899
12792,v23,3,t58,1521505000.571,5.92,1521505006.493
11328,v32,3,t56,1521505001.992,4.747,1521505006.743
