bigscale\+1\1	29	4	22.672
bigscale\+1\2	29	4	25.798
bigscale\+1\3	29	4	22.211
bigscale\+1\4	29	4	23.891
bigscale\+1\5	29	4	22.485
bigscale\+1\6	29	4	22.501
bigscale\+1\7	29	4	22.376
bigscale\+1\8	29	4	22.429
bigscale\+1\9	29	4	22.094
bigscale\+1\10	29	4	22.5
bigscale\+1\11	29	4	22.017
bigscale\+1\12	29	4	22.297
bigscale\+1\13	29	4	23.172
bigscale\+1\14	29	4	22.601
bigscale\+1\15	29	4	22.657
bigscale\+2\1	79	10	57.547
bigscale\+2\2	79	10	57.783
bigscale\+2\3	79	10	56.891
bigscale\+2\4	79	10	61.032
bigscale\+2\5	79	10	58.21
bigscale\+2\6	79	10	58.173
bigscale\+2\7	79	10	57.173
bigscale\+2\8	79	10	60.053
bigscale\+2\9	79	10	56.37
bigscale\+2\10	79	10	57.448
bigscale\+2\11	79	10	57.076
bigscale\+2\12	79	10	57.087
bigscale\+2\13	79	10	57.592
bigscale\+2\14	79	10	57.283
bigscale\+2\15	79	10	57.6
bigscale\+3\1	99	12	69.175
bigscale\+3\2	99	12	71.755
bigscale\+3\3	99	12	71.253
bigscale\+3\4	99	12	70.095
bigscale\+3\5	99	12	72.177
bigscale\+3\6	99	12	69.164
bigscale\+3\7	99	12	69.007
bigscale\+3\8	99	12	71.005
bigscale\+3\9	99	12	69.509
bigscale\+3\10	99	12	70.926
bigscale\+3\11	99	12	69.72
bigscale\+3\12	99	12	70.423
bigscale\+3\13	99	12	69.227
bigscale\+3\14	99	12	70.9
bigscale\+3\15	99	12	70.915
bigscale\+4\1	129	16	91.32
bigscale\+4\2	129	16	91.706
bigscale\+4\3	129	16	92.002
bigscale\+4\4	129	16	90.93
bigscale\+4\5	129	16	91.152
bigscale\+4\6	129	16	93.857
bigscale\+4\7	129	16	91.484
bigscale\+4\8	129	16	91.779
bigscale\+4\9	129	16	93.052
bigscale\+4\10	129	16	93.241
bigscale\+4\11	129	16	91.41
bigscale\+4\12	129	16	92.405
bigscale\+4\13	129	16	90.727
bigscale\+4\14	129	16	93.016
bigscale\+4\15	129	16	92.735
bigscale\+5\1	149	19	105.528
bigscale\+5\2	149	19	105.949
bigscale\+5\3	149	19	107.645
bigscale\+5\4	149	19	105.191
bigscale\+5\5	149	19	104.394
bigscale\+5\6	149	19	106.2
bigscale\+5\7	149	19	107.204
bigscale\+5\8	149	19	104.787
bigscale\+5\9	149	19	105.164
bigscale\+5\10	149	19	106.05
bigscale\+5\11	149	19	107.188
bigscale\+5\12	149	19	105.94
bigscale\+5\13	149	19	106.386
bigscale\+5\14	149	19	107.043
bigscale\+5\15	149	19	106.229
bigscale\+6\1	179	22	127.69
bigscale\+6\2	179	22	129.54
bigscale\+6\3	179	22	127.484
bigscale\+6\4	179	22	126.09
bigscale\+6\5	179	22	126.246
bigscale\+6\6	179	22	126.32
bigscale\+6\7	179	22	127.196
bigscale\+6\8	179	22	126.913
bigscale\+6\9	179	22	126.289
bigscale\+6\10	179	22	128.031
bigscale\+6\11	179	22	127.753
bigscale\+6\12	179	22	130.69
bigscale\+6\13	179	22	130.973
bigscale\+6\14	179	22	126.109
bigscale\+6\15	179	22	127.298
bigscale\+7\1	199	25	139.943
bigscale\+7\2	199	25	141.131
bigscale\+7\3	199	25	139.417
bigscale\+7\4	199	25	141.007
bigscale\+7\5	199	25	140.234
bigscale\+7\6	199	25	139.188
bigscale\+7\7	199	25	140.849
bigscale\+7\8	199	25	141.417
bigscale\+7\9	199	25	140.321
bigscale\+7\10	199	25	145.04
bigscale\+7\11	199	25	139.127
bigscale\+7\12	199	25	144.146
bigscale\+7\13	199	25	139.592
bigscale\+7\14	199	25	140.446
bigscale\+7\15	199	25	140.599
bigscale\+8\1	229	29	162.781
bigscale\+8\2	229	29	160.784
bigscale\+8\3	229	29	161.779
bigscale\+8\4	229	29	162.403
bigscale\+8\5	229	29	164.184
bigscale\+8\6	229	29	162.792
bigscale\+8\7	229	29	162.121
bigscale\+8\8	229	29	163.923
bigscale\+8\9	229	29	164.995
bigscale\+8\10	229	29	164.905
bigscale\+8\11	229	29	163.723
bigscale\+8\12	229	29	163.062
bigscale\+8\13	229	29	161.521
bigscale\+8\14	229	29	162.545
bigscale\+8\15	229	29	163.641
bigscale\+9\1	249	31	175.763
bigscale\+9\2	249	31	174.672
bigscale\+9\3	249	31	174.238
bigscale\+9\4	249	31	174.406
bigscale\+9\5	249	31	174.972
bigscale\+9\6	249	31	174.935
bigscale\+9\7	249	31	174.471
bigscale\+9\8	249	31	176.788
bigscale\+9\9	249	31	173.19
bigscale\+9\10	249	31	177.231
bigscale\+9\11	249	31	174.677
bigscale\+9\12	249	31	175.801
bigscale\+9\13	249	31	173.86
bigscale\+9\14	249	31	176.195
bigscale\+9\15	249	31	174.894
bigscale\+10\1	279	35	198.565
bigscale\+10\2	279	35	199.733
bigscale\+10\3	279	35	195.995
bigscale\+10\4	279	35	199.159
bigscale\+10\5	279	35	198.113
bigscale\+10\6	279	35	196.339
bigscale\+10\7	279	35	196.968
bigscale\+10\8	279	35	197.884
bigscale\+10\9	279	35	197.798
bigscale\+10\10	279	35	196.687
bigscale\+10\11	279	35	196.661
bigscale\+10\12	279	35	196.292
bigscale\+10\13	279	35	196.992
bigscale\+10\14	279	35	197.093
bigscale\+10\15	279	35	199.699
bigscale\+11\1	299	37	207.85
bigscale\+11\2	299	37	207.987
bigscale\+11\3	299	37	208.837
bigscale\+11\4	299	37	209.871
bigscale\+11\5	299	37	212.477
bigscale\+11\6	299	37	212.858
bigscale\+11\7	299	37	209.165
bigscale\+11\8	299	37	208.714
bigscale\+11\9	299	37	209.968
