bigscale\baseline+1\1	29	4	27.823
bigscale\baseline+1\2	29	4	24.472
bigscale\baseline+1\3	29	4	24.787
bigscale\baseline+1\4	29	4	26.12
bigscale\baseline+1\5	29	4	26.066
bigscale\baseline+1\6	29	4	24.575
bigscale\baseline+1\7	29	4	25.065
bigscale\baseline+1\8	29	4	24.562
bigscale\baseline+1\9	29	4	24.307
bigscale\baseline+1\10	29	4	23.567
bigscale\baseline+1\11	29	4	25.993
bigscale\baseline+1\12	29	4	25.052
bigscale\baseline+1\13	29	4	23.556
bigscale\baseline+1\14	29	4	27.189
bigscale\baseline+1\15	29	4	27.091
bigscale\baseline+2\1	79	10	65.168
bigscale\baseline+2\2	79	10	60.853
bigscale\baseline+2\3	79	10	60.498
bigscale\baseline+2\4	79	10	61.84
bigscale\baseline+2\5	79	10	61.084
bigscale\baseline+2\6	79	10	61.876
bigscale\baseline+2\7	79	10	60.755
bigscale\baseline+2\8	79	10	66.354
bigscale\baseline+2\9	79	10	60.901
bigscale\baseline+2\10	79	10	60.476
bigscale\baseline+2\11	79	10	61.131
bigscale\baseline+2\12	79	10	60.651
bigscale\baseline+2\13	79	10	61.898
bigscale\baseline+2\14	79	10	60.323
bigscale\baseline+2\15	79	10	60.203
bigscale\baseline+3\1	99	12	77.85
bigscale\baseline+3\2	99	12	75.293
bigscale\baseline+3\3	99	12	75.916
bigscale\baseline+3\4	99	12	79.362
bigscale\baseline+3\5	99	12	75.824
bigscale\baseline+3\6	99	12	72.484
bigscale\baseline+3\7	99	12	74.321
bigscale\baseline+3\8	99	12	73.587
bigscale\baseline+3\9	99	12	75.636
bigscale\baseline+3\10	99	12	74.545
bigscale\baseline+3\11	99	12	80.897
bigscale\baseline+3\12	99	12	73.457
bigscale\baseline+3\13	99	12	74.909
bigscale\baseline+3\14	99	12	74.966
bigscale\baseline+3\15	99	12	76.949
bigscale\baseline+4\1	129	16	96.846
bigscale\baseline+4\2	129	16	98.761
bigscale\baseline+4\3	129	16	96.622
bigscale\baseline+4\4	129	16	98.428
bigscale\baseline+4\5	129	16	97.727
bigscale\baseline+4\6	129	16	98.422
bigscale\baseline+4\7	129	16	101.386
bigscale\baseline+4\8	129	16	98.222
bigscale\baseline+4\9	129	16	97.069
bigscale\baseline+4\10	129	16	98.671
bigscale\baseline+4\11	129	16	98.012
bigscale\baseline+4\12	129	16	96.834
bigscale\baseline+4\13	129	16	102.986
bigscale\baseline+4\14	129	16	98.604
bigscale\baseline+4\15	129	16	97.606
bigscale\baseline+5\1	149	19	111.546
bigscale\baseline+5\2	149	19	114.433
bigscale\baseline+5\3	149	19	113.302
bigscale\baseline+5\4	149	19	112.234
bigscale\baseline+5\5	149	19	113.193
bigscale\baseline+5\6	149	19	112.778
bigscale\baseline+5\7	149	19	112.049
bigscale\baseline+5\8	149	19	114.166
bigscale\baseline+5\9	149	19	112.388
bigscale\baseline+5\10	149	19	111.484
bigscale\baseline+5\11	149	19	110.421
bigscale\baseline+5\12	149	19	111.214
bigscale\baseline+5\13	149	19	112.69
bigscale\baseline+5\14	149	19	111.456
bigscale\baseline+5\15	149	19	110.971
