.\datafile\bigscale\baseline+4\6	129	16	98.422	16.125	6.129	0.963055	0.961656	0.969177	0.963322
.\datafile\bigscale\baseline+4\7	129	16	101.386	16.125	6.091	0.957064	0.956522	0.968851	0.959084
.\datafile\bigscale\baseline+4\8	129	16	98.222	16.125	6.088	0.965225	0.959579	0.970379	0.963845
.\datafile\bigscale\baseline+4\9	129	16	97.069	16.125	6.019	0.953105	0.96572	0.974601	0.96313
.\datafile\bigscale\baseline+4\10	129	16	98.671	16.125	6.098	0.962101	0.970688	0.972117	0.967786
.\datafile\bigscale\baseline+4\11	129	16	98.012	16.125	6.077	0.968151	0.966089	0.975551	0.968196
.\datafile\bigscale\baseline+4\12	129	16	96.834	16.125	5.986	0.962688	0.962148	0.982267	0.965988
.\datafile\bigscale\baseline+4\13	129	16	102.986	16.125	6.177	0.970268	0.967477	0.978322	0.970594
.\datafile\bigscale\baseline+4\14	129	16	98.604	16.125	6.001	0.959915	0.963531	0.982463	0.965519
.\datafile\bigscale\baseline+4\15	129	16	97.606	16.125	5.96	0.959476	0.972282	0.974567	0.967355
.\datafile\bigscale\baseline+5\1	149	19	111.546	18.625	6.919	0.959862	0.968876	0.977853	0.967119
.\datafile\bigscale\baseline+5\2	149	19	114.433	18.625	7.114	0.958542	0.962264	0.974317	0.963046
.\datafile\bigscale\baseline+5\3	149	19	113.302	18.625	7.093	0.964002	0.960244	0.97549	0.96432
.\datafile\bigscale\baseline+5\4	149	19	112.234	18.625	7.06	0.963327	0.963344	0.968442	0.964093
.\datafile\bigscale\baseline+5\5	149	19	113.193	18.625	6.995	0.967538	0.970202	0.973973	0.969896
.\datafile\bigscale\baseline+5\6	149	19	112.778	18.625	6.925	0.966679	0.964247	0.974194	0.9668
.\datafile\bigscale\baseline+5\7	149	19	112.049	18.625	6.903	0.959668	0.959019	0.97071	0.960746
.\datafile\bigscale\baseline+5\8	149	19	114.166	18.625	6.973	0.964264	0.9614	0.977354	0.964686
.\datafile\bigscale\baseline+5\9	149	19	112.388	18.625	6.996	0.96471	0.962168	0.975397	0.965852
.\datafile\bigscale\baseline+5\10	149	19	111.484	18.625	6.972	0.959313	0.962951	0.974031	0.962873
.\datafile\bigscale\baseline+5\11	149	19	110.421	18.625	6.957	0.961986	0.966738	0.971545	0.965989
.\datafile\bigscale\baseline+5\12	149	19	111.214	18.625	6.821	0.953016	0.95859	0.976493	0.95999
.\datafile\bigscale\baseline+5\13	149	19	112.69	18.625	7.036	0.955048	0.962863	0.972799	0.962401
.\datafile\bigscale\baseline+5\14	149	19	111.456	18.625	7.005	0.956277	0.968617	0.976272	0.965745
.\datafile\bigscale\baseline+5\15	149	19	110.971	18.625	7.025	0.957792	0.963603	0.980583	0.965637
.\datafile\bigscale\baseline+6\1	179	22	135.198	22.375	8.44	0.95707	0.957412	0.973276	0.960599
.\datafile\bigscale\baseline+6\2	179	22	134.994	22.375	8.419	0.955082	0.967095	0.975595	0.96465
.\datafile\bigscale\baseline+6\3	179	22	135.291	22.375	8.382	0.956621	0.960611	0.969926	0.960496
.\datafile\bigscale\baseline+6\4	179	22	131.818	22.375	8.276	0.957986	0.966402	0.976935	0.965424
.\datafile\bigscale\baseline+6\5	179	22	134.504	22.375	8.312	0.960928	0.952127	0.974018	0.960081
.\datafile\bigscale\baseline+6\6	179	22	134.069	22.375	8.31	0.961364	0.969016	0.968326	0.96556
.\datafile\bigscale\baseline+6\7	179	22	134.079	22.375	8.48	0.960097	0.961079	0.979174	0.964819
.\datafile\bigscale\baseline+6\8	179	22	135.75	22.375	8.447	0.958987	0.953503	0.97611	0.960195
.\datafile\bigscale\baseline+6\9	179	22	131.948	22.375	8.31	0.951667	0.962815	0.971409	0.960653
.\datafile\bigscale\baseline+6\10	179	22	135.252	22.375	8.316	0.959972	0.953939	0.978213	0.960762
.\datafile\bigscale\baseline+6\11	179	22	133.12	22.375	8.28	0.953924	0.96228	0.970636	0.96104
.\datafile\bigscale\baseline+6\12	179	22	135.883	22.375	8.452	0.959881	0.969419	0.972363	0.966511
.\datafile\bigscale\baseline+6\13	179	22	134.397	22.375	8.417	0.958753	0.974275	0.972497	0.967794
.\datafile\bigscale\baseline+6\14	179	22	132.98	22.375	8.338	0.958942	0.966838	0.978013	0.966212
.\datafile\bigscale\baseline+6\15	179	22	134.347	22.375	8.458	0.96344	0.959415	0.968729	0.962675
.\datafile\bigscale\baseline+7\1	199	25	149.433	24.875	9.283	0.965369	0.954553	0.972268	0.962494
.\datafile\bigscale\baseline+7\2	199	25	147.958	24.875	9.244	0.966024	0.958116	0.977303	0.964967
.\datafile\bigscale\baseline+7\3	199	25	148.462	24.875	9.346	0.958317	0.965815	0.971447	0.963813
.\datafile\bigscale\baseline+7\4	199	25	148.497	24.875	9.266	0.95947	0.962961	0.97474	0.963674
.\datafile\bigscale\baseline+7\5	199	25	149.379	24.875	9.441	0.959431	0.963501	0.978573	0.96511
.\datafile\bigscale\baseline+7\6	199	25	149.407	24.875	9.434	0.957107	0.963145	0.968997	0.961921
.\datafile\bigscale\baseline+7\7	199	25	148.833	24.875	9.291	0.957811	0.9653	0.976902	0.964653
.\datafile\bigscale\baseline+7\8	199	25	147.85	24.875	9.241	0.962144	0.961017	0.972051	0.963878
.\datafile\bigscale\baseline+7\9	199	25	149.481	24.875	9.362	0.957176	0.957951	0.974327	0.961173
.\datafile\bigscale\baseline+7\10	199	25	148.2	24.875	9.315	0.955101	0.96467	0.973317	0.962826
.\datafile\bigscale\baseline+7\11	199	25	147.038	24.875	9.311	0.960252	0.967262	0.972636	0.965679
.\datafile\bigscale\baseline+7\12	199	25	154.1	24.875	9.373	0.956505	0.956747	0.98026	0.961998
.\datafile\bigscale\baseline+7\13	199	25	148.856	24.875	9.369	0.949266	0.964782	0.971839	0.960673
.\datafile\bigscale\baseline+7\14	199	25	147.845	24.875	9.197	0.960333	0.962993	0.980995	0.965638
.\datafile\bigscale\baseline+7\15	199	25	147.222	24.875	9.241	0.959946	0.960868	0.975678	0.963803
