pid_num,vm,task_num,task,setup,duration,cutting
17440,v12,0,t11,1520397634.086,4.684,1520397638.77
18420,v13,0,t12,1520397634.333,4.506,1520397638.84
18388,v23,0,t16,1520397634.637,4.277,1520397638.915
18384,v22,0,t17,1520397634.505,5.001,1520397639.506
18400,v32,0,t18,1520397634.831,5.279,1520397640.111
18376,v31,0,t13,1520397634.716,5.442,1520397640.159
18268,v11,0,t15,1520397633.99,6.267,1520397640.257
17436,v21,0,t14,1520397634.34,6.844,1520397641.184
18420,v12,1,t113,1520397638.84,4.979,1520397643.819
18388,v13,1,t21,1520397638.915,5.756,1520397644.671
18376,v23,1,t111,1520397640.159,4.549,1520397644.708
18268,v31,1,t23,1520397640.257,5.498,1520397645.756
17436,v32,1,t112,1520397641.184,4.816,1520397646.001
17440,v11,1,t110,1520397638.77,7.255,1520397646.026
18400,v22,1,t22,1520397640.111,6.66,1520397646.771
18384,v21,1,t19,1520397639.506,7.302,1520397646.808
18376,v13,2,t27,1520397644.708,5.578,1520397650.286
18388,v12,2,t28,1520397644.671,6.605,1520397651.276
18420,v11,2,t210,1520397643.819,7.768,1520397651.588
17440,v23,2,t211,1520397646.026,5.635,1520397651.661
17436,v22,2,t25,1520397646.002,6.804,1520397652.806
18268,v21,2,t24,1520397645.756,7.42,1520397653.176
18384,v32,2,t29,1520397646.808,6.494,1520397653.302
18400,v31,2,t26,1520397646.771,7.607,1520397654.378
18420,v13,3,t216,1520397651.588,3.954,1520397655.542
18388,v12,3,t217,1520397651.277,4.797,1520397656.075
18376,v11,3,t215,1520397650.286,6.068,1520397656.356
18268,v23,3,t32,1520397653.176,4.24,1520397657.417
17436,v22,3,t214,1520397652.806,5.884,1520397658.69
18384,v31,3,t31,1520397653.302,5.479,1520397658.782
17440,v21,3,t212,1520397651.662,7.178,1520397658.841
18400,v32,3,t213,1520397654.378,4.96,1520397659.338
18420,v11,4,t35,1520397655.542,5.742,1520397661.285
18376,v13,4,t33,1520397656.356,5.256,1520397661.612
18388,v12,4,t39,1520397656.075,6.956,1520397663.031
18400,v32,4,t34,1520397659.338,4.759,1520397664.098
18384,v23,4,t310,1520397658.782,5.994,1520397664.777
18268,v21,4,t37,1520397657.417,7.514,1520397664.932
17436,v22,4,t38,1520397658.691,6.597,1520397665.289
17440,v31,4,t36,1520397658.841,6.648,1520397665.489
18420,v11,5,t314,1520397661.287,6.463,1520397667.751
18376,v12,5,t41,1520397661.612,6.652,1520397668.265
18388,v13,5,t316,1520397663.031,5.707,1520397668.738
18268,v23,5,t311,1520397664.932,6.034,1520397670.967
17440,v32,5,t313,1520397665.489,6.469,1520397671.958
18400,v21,5,t315,1520397664.098,7.949,1520397672.048
18384,v22,5,t312,1520397664.777,7.381,1520397672.159
18388,v13,6,t43,1520397668.739,3.916,1520397672.655
17436,v31,5,t42,1520397665.289,7.768,1520397673.057
18376,v12,6,t48,1520397668.265,4.994,1520397673.26
18420,v11,6,t410,1520397667.752,6.364,1520397674.116
18400,v23,6,t47,1520397672.048,4.103,1520397676.151
18388,v32,6,t45,1520397672.655,4.428,1520397677.084
18268,v21,6,t44,1520397670.967,6.415,1520397677.383
17440,v22,6,t46,1520397671.958,5.437,1520397677.396
18384,v31,6,t49,1520397672.159,5.808,1520397677.967
18420,v13,7,t413,1520397674.116,4.51,1520397678.627
18376,v12,7,t414,1520397673.26,5.519,1520397678.779
17436,v11,7,t51,1520397673.057,6.525,1520397679.582
18384,v32,7,t53,1520397677.967,4.96,1520397682.928
18268,v23,7,t52,1520397677.383,5.995,1520397683.378
17440,v31,7,t411,1520397677.396,6.14,1520397683.536
18400,v21,7,t412,1520397676.151,7.766,1520397683.917
18388,v22,7,t54,1520397677.084,7.013,1520397684.097
17436,v13,8,t55,1520397679.582,5.715,1520397685.297
18376,v12,8,t511,1520397678.779,6.633,1520397685.412
18420,v11,8,t59,1520397678.627,8.273,1520397686.901
17440,v23,8,t56,1520397683.536,5.983,1520397689.519
18388,v32,8,t512,1520397684.097,6.087,1520397690.185
18268,v22,8,t58,1520397683.378,6.91,1520397690.288
18376,v12,9,t518,1520397685.412,5.382,1520397690.795
17436,v11,9,t514,1520397685.297,5.905,1520397691.204
18400,v31,8,t510,1520397683.917,7.36,1520397691.278
18420,v13,9,t516,1520397686.901,4.385,1520397691.287
18384,v21,8,t57,1520397682.928,8.38,1520397691.309
18388,v23,9,t515,1520397690.186,4.244,1520397694.431
17440,v22,9,t513,1520397689.519,5.518,1520397695.038
18376,v32,9,t517,1520397690.795,4.698,1520397695.493
18268,v31,9,t519,1520397690.288,5.453,1520397695.742
