pid_num,vm,task_num,task,setup,duration,cutting
8196,v13,0,t11,1521507381.102,4.013,1521507385.118
13052,v12,0,t13,1521507380.914,4.746,1521507385.664
10952,v23,0,t15,1521507381.227,4.648,1521507385.883
3696,v32,0,t17,1521507381.414,4.896,1521507386.321
12356,v31,0,t18,1521507381.367,5.378,1521507386.758
2956,v22,0,t12,1521507381.227,5.851,1521507387.086
12372,v11,0,t14,1521507380.617,6.507,1521507387.133
12308,v21,0,t16,1521507381.133,6.057,1521507387.196
10952,v13,1,t113,1521507385.883,4.383,1521507390.274
13052,v12,1,t19,1521507385.664,6.678,1521507392.352
8196,v11,1,t21,1521507385.118,7.588,1521507392.711
2956,v23,1,t22,1521507387.086,5.666,1521507392.758
12308,v32,1,t23,1521507387.196,6.069,1521507393.274
12356,v22,1,t112,1521507386.758,7.095,1521507393.868
12372,v31,1,t110,1521507387.133,7.623,1521507394.758
3696,v21,1,t111,1521507386.321,8.83,1521507395.165
8196,v13,2,t28,1521507392.711,4.062,1521507396.79
13052,v12,2,t24,1521507392.352,4.872,1521507397.227
10952,v11,2,t25,1521507390.274,7.068,1521507397.352
12356,v23,2,t26,1521507393.868,4.267,1521507398.149
12308,v22,2,t29,1521507393.274,5.186,1521507398.461
2956,v21,2,t210,1521507392.758,5.978,1521507398.743
3696,v32,2,t27,1521507395.165,4.908,1521507400.087
12372,v31,2,t211,1521507394.758,5.445,1521507400.211
10952,v13,3,t216,1521507397.352,4.058,1521507401.415
13052,v12,3,t214,1521507397.227,4.724,1521507401.962
8196,v11,3,t217,1521507396.79,5.761,1521507402.555
2956,v23,3,t218,1521507398.743,4.225,1521507402.977
12308,v22,3,t215,1521507398.461,5.602,1521507404.071
12356,v21,3,t212,1521507398.149,6.256,1521507404.415
12372,v32,3,t213,1521507400.211,4.425,1521507404.649
3696,v31,3,t219,1521507400.087,5.58,1521507405.68
13052,v12,4,t223,1521507401.962,5.136,1521507407.102
8196,v13,4,t225,1521507402.555,4.643,1521507407.212
12356,v23,4,t226,1521507404.415,4.37,1521507408.79
10952,v11,4,t220,1521507401.415,7.743,1521507409.165
2956,v21,4,t222,1521507402.977,7.596,1521507410.587
3696,v32,4,t221,1521507405.68,5.56,1521507411.243
12308,v22,4,t224,1521507404.071,7.162,1521507411.243
8196,v12,5,t38,1521507407.212,5.038,1521507412.259
12372,v31,4,t227,1521507404.649,7.638,1521507412.29
12356,v13,5,t32,1521507408.79,4.104,1521507412.899
13052,v11,5,t34,1521507407.102,6.003,1521507413.118
3696,v23,5,t37,1521507411.243,4.218,1521507415.462
10952,v21,5,t31,1521507409.165,6.445,1521507415.618
2956,v22,5,t35,1521507410.587,5.441,1521507416.04
12308,v31,5,t33,1521507411.243,5.447,1521507416.696
8196,v32,5,t36,1521507412.259,4.507,1521507416.774
13052,v13,6,t316,1521507413.118,3.955,1521507417.087
12356,v12,6,t312,1521507412.899,4.655,1521507417.555
12372,v11,6,t314,1521507412.29,6.681,1521507418.977
2956,v23,6,t310,1521507416.04,4.362,1521507420.415
8196,v32,6,t313,1521507416.774,4.411,1521507421.196
10952,v22,6,t39,1521507415.618,5.799,1521507421.431
3696,v21,6,t315,1521507415.462,6.313,1521507421.79
12308,v31,6,t311,1521507416.696,6.066,1521507422.774
13052,v11,7,t46,1521507417.087,5.993,1521507423.087
12356,v12,7,t48,1521507417.555,6.502,1521507424.071
12372,v13,7,t41,1521507418.977,5.753,1521507424.743
8196,v22,7,t47,1521507421.196,5.431,1521507426.634
10952,v23,7,t45,1521507421.431,5.21,1521507426.649
12308,v32,7,t44,1521507422.774,4.625,1521507427.399
2956,v21,7,t43,1521507420.415,8.184,1521507428.602
3696,v31,7,t42,1521507421.79,6.919,1521507428.712
13052,v11,8,t410,1521507423.087,5.847,1521507428.946
12356,v12,8,t416,1521507424.071,5.014,1521507429.087
12372,v13,8,t414,1521507424.743,4.51,1521507429.259
10952,v22,8,t49,1521507426.649,5.298,1521507431.962
12308,v23,8,t415,1521507427.399,4.958,1521507432.368
8196,v21,8,t411,1521507426.634,6.624,1521507433.259
12372,v13,9,t418,1521507429.259,4.02,1521507433.29
3696,v32,8,t413,1521507428.712,4.771,1521507433.493
2956,v31,8,t412,1521507428.602,5.464,1521507434.071
12356,v12,9,t417,1521507429.087,5.453,1521507434.54
13052,v11,9,t419,1521507428.946,5.831,1521507434.79
8196,v23,9,t422,1521507433.259,4.394,1521507437.665
12308,v22,9,t424,1521507432.368,5.783,1521507438.165
10952,v21,9,t420,1521507431.962,6.344,1521507438.321
3696,v32,9,t421,1521507433.493,4.813,1521507438.321
13052,v13,10,t56,1521507434.79,4.341,1521507439.134
12372,v31,9,t423,1521507433.29,6.005,1521507439.306
12356,v12,10,t58,1521507434.54,6.291,1521507440.837
2956,v11,10,t52,1521507434.071,6.814,1521507440.9
3696,v31,10,t57,1521507438.321,5.612,1521507443.946
10952,v23,10,t53,1521507438.321,5.749,1521507444.071
2956,v13,11,t511,1521507440.9,4.001,1521507444.915
13052,v32,10,t51,1521507439.134,5.879,1521507445.025
8196,v21,10,t54,1521507437.665,7.445,1521507445.118
12372,v11,11,t510,1521507439.306,5.834,1521507445.15
12308,v22,10,t55,1521507438.165,7.111,1521507445.29
12356,v12,11,t516,1521507440.837,4.832,1521507445.681
2956,v23,11,t513,1521507444.915,4.217,1521507449.134
12372,v13,12,t517,1521507445.15,4.064,1521507449.228
10952,v22,11,t514,1521507444.071,5.598,1521507449.681
3696,v21,11,t512,1521507443.946,6.238,1521507450.196
8196,v32,11,t59,1521507445.118,5.069,1521507450.196
12308,v22,12,t519,1521507445.29,5.194,1521507450.493
12356,v23,12,t518,1521507445.681,4.982,1521507450.665
13052,v31,11,t515,1521507445.025,6.009,1521507451.04
