pid_num,vm,task_num,task,setup,duration,cutting
12644,v13,0,t14,1521505865.69,4.238,1521505869.94
11220,v12,0,t11,1521505865.565,4.781,1521505870.347
4836,v23,0,t15,1521505866.112,4.501,1521505870.628
13020,v32,0,t18,1521505866.237,4.498,1521505870.737
12912,v11,0,t12,1521505865.471,5.694,1521505871.175
12900,v22,0,t16,1521505866.049,5.476,1521505871.534
8352,v31,0,t17,1521505866.143,5.528,1521505871.675
11608,v21,0,t13,1521505865.893,6.205,1521505872.112
4836,v13,1,t110,1521505870.628,4.463,1521505875.097
11220,v12,1,t21,1521505870.347,5.032,1521505875.393
12644,v11,1,t19,1521505869.94,5.723,1521505875.675
12900,v23,1,t23,1521505871.534,4.575,1521505876.112
12912,v22,1,t113,1521505871.175,5.233,1521505876.409
11608,v32,1,t22,1521505872.112,5.145,1521505877.268
8352,v31,1,t111,1521505871.675,6.237,1521505877.925
13020,v21,1,t112,1521505870.737,7.77,1521505878.518
12644,v13,2,t29,1521505875.675,3.885,1521505879.565
11220,v12,2,t26,1521505875.393,5.02,1521505880.425
12912,v22,2,t24,1521505876.409,5.031,1521505881.44
11608,v23,2,t211,1521505877.268,4.183,1521505881.456
4836,v11,2,t25,1521505875.097,7.078,1521505882.175
12900,v21,2,t28,1521505876.112,6.381,1521505882.503
13020,v32,2,t210,1521505878.518,4.722,1521505883.253
8352,v31,2,t27,1521505877.925,5.926,1521505883.862
11220,v12,3,t215,1521505880.425,4.669,1521505885.097
12912,v13,3,t212,1521505881.44,4.021,1521505885.472
12644,v11,3,t213,1521505879.565,6.941,1521505886.519
12900,v23,3,t214,1521505882.503,4.123,1521505886.628
4836,v22,3,t31,1521505882.175,5.083,1521505887.269
8352,v32,3,t217,1521505883.862,4.515,1521505888.378
11608,v21,3,t216,1521505881.456,6.982,1521505888.44
13020,v31,3,t32,1521505883.253,5.754,1521505889.019
12912,v12,4,t36,1521505885.472,5.195,1521505890.675
12644,v13,4,t310,1521505886.519,5.757,1521505892.284
11220,v11,4,t38,1521505885.097,7.827,1521505892.925
8352,v23,4,t33,1521505888.378,5.137,1521505893.519
12900,v21,4,t34,1521505886.628,6.912,1521505893.55
13020,v32,4,t39,1521505889.019,4.534,1521505893.565
4836,v22,4,t35,1521505887.269,6.477,1521505893.753
11608,v31,4,t37,1521505888.44,8.035,1521505896.487
12912,v11,5,t315,1521505890.675,5.97,1521505896.659
11220,v13,5,t316,1521505892.925,4.043,1521505896.972
12644,v12,5,t312,1521505892.284,5.269,1521505897.566
13020,v23,5,t41,1521505893.565,4.885,1521505898.456
12900,v22,5,t42,1521505893.55,5.57,1521505899.128
4836,v31,5,t311,1521505893.753,5.484,1521505899.238
8352,v21,5,t313,1521505893.519,6.194,1521505899.722
11608,v32,5,t314,1521505896.487,4.544,1521505901.034
12644,v13,6,t43,1521505897.566,3.863,1521505901.441
11220,v12,6,t49,1521505896.972,5.571,1521505902.55
12912,v11,6,t47,1521505896.659,6.788,1521505903.456
4836,v23,6,t45,1521505899.238,4.241,1521505903.488
13020,v21,6,t48,1521505898.456,6.364,1521505904.831
12900,v22,6,t46,1521505899.128,5.745,1521505904.878
8352,v31,6,t44,1521505899.722,5.667,1521505905.394
11608,v32,6,t410,1521505901.034,5.421,1521505906.456
12644,v11,7,t51,1521505901.441,5.992,1521505907.441
12912,v13,7,t413,1521505903.456,4.687,1521505908.144
11220,v12,7,t53,1521505902.55,5.841,1521505908.394
4836,v21,7,t52,1521505903.488,6.297,1521505909.8
12900,v23,7,t414,1521505904.878,6.103,1521505910.988
13020,v22,7,t412,1521505904.831,6.229,1521505911.066
11220,v13,8,t512,1521505908.394,4.173,1521505912.581
11608,v32,7,t411,1521505906.456,6.264,1521505912.722
8352,v31,7,t54,1521505905.394,7.527,1521505912.925
12912,v12,8,t57,1521505908.144,5.364,1521505913.519
12644,v11,8,t58,1521505907.441,6.755,1521505914.206
13020,v23,8,t510,1521505911.066,4.082,1521505915.16
4836,v21,8,t56,1521505909.8,5.991,1521505915.8
12900,v22,8,t511,1521505910.988,5.061,1521505916.05
11608,v32,8,t55,1521505912.722,4.83,1521505917.566
12644,v13,9,t514,1521505914.206,3.902,1521505918.113
12912,v12,9,t517,1521505913.519,4.752,1521505918.285
11220,v31,8,t59,1521505912.581,5.885,1521505918.472
8352,v11,9,t518,1521505912.925,5.885,1521505918.816
12900,v23,9,t519,1521505916.05,4.219,1521505920.285
4836,v22,9,t513,1521505915.8,5.156,1521505920.957
13020,v21,9,t516,1521505915.16,6.001,1521505921.175
11608,v32,9,t515,1521505917.566,5.077,1521505922.644
